U,V
-5.749838,5.1
-5.349838,5.9
-4.949838,6.5
-4.549839,7.1
-4.049839,7.6
-3.549838,7.9
-3.049838,8.1
-2.549838,8.1
-2.049838,8.1
-1.549838,8
-1.149838,7.8
-0.6498383,7.7
-0.2498383,7.6
0.2501617,7.5
0.7501618,7.5
1.250162,7.5
1.750162,7.6
2.150162,7.7
2.650162,8
3.250162,8.3
3.750162,8.6
4.250162,9
4.950162,9.400001
5.550162,9.8
19.35016,-21.6
18.65016,-23
17.75016,-24.1
16.95016,-25
15.95016,-25.5
15.15016,-25.8
14.15016,-25.9
13.35016,-25.9
12.55016,-25.7
11.85016,-25.5
10.95016,-25.3
10.15016,-25.1
9.250162,-24.8
8.350162,-24.5
7.350162,-24.1
6.450162,-23.7
5.350162,-23.2
4.350162,-22.6
3.250162,-21.9
2.350162,-21.1
1.350162,-20.3
0.5501618,-19.6
-0.3498383,-18.8
-1.149838,-18.1
-1.949838,-17.3
-2.649838,-16.5
-3.349838,-15.7
-4.049839,-14.8
-4.649838,-13.8
-5.249838,-12.7
-5.749838,-11.4
-6.149838,-10.1
-6.449838,-8.6
-6.649838,-7
-6.849838,-5.5
-6.849838,-3.9
-6.749838,-2.5
-6.649838,-1.1
-6.549839,0.2
-6.349838,1.4
-6.149838,2.5
-5.849838,3.6
-5.649838,4.5
-5.349838,5.5
-5.049839,6.4
-4.649838,7.2
-4.249838,7.9
-3.749838,8.5
-3.349838,9
-2.849838,9.3
-2.449838,9.5
-1.949838,9.5
-1.649838,9.5
-1.149838,9.400001
-0.8498383,9.2
-0.3498383,9.1
-0.04983826,9
0.3501618,8.900001
0.7501618,8.900001
1.250162,9.1
1.650162,9.2
2.250162,9.5
2.750162,9.900001
3.450162,10.4
4.050162,10.8
4.850162,11.2
5.550162,11.6
6.250162,11.9
18.15016,-19.6
17.85016,-21.2
17.45016,-22.6
16.95016,-23.6
16.35016,-24.4
15.85016,-24.8
15.15016,-25.1
14.65016,-25.2
14.15016,-25.2
13.65016,-25.2
13.05016,-25.2
12.45016,-25.1
11.65016,-25
10.85016,-25
9.950162,-24.9
8.950162,-24.7
7.950162,-24.5
6.950162,-24.1
5.850162,-23.6
4.750162,-23
3.750162,-22.3
2.750162,-21.5
1.750162,-20.7
0.8501617,-19.9
-0.04983826,-19
-0.8498383,-18.2
-1.649838,-17.3
-2.449838,-16.4
-3.149838,-15.3
-3.849838,-14.1
-4.449838,-12.8
-5.049839,-11.2
-5.449838,-9.6
-5.849838,-7.8
-6.149838,-6
-6.349838,-4.2
-6.549839,-2.4
-6.549839,-0.8
-6.449838,0.8
-6.349838,2.1
-6.149838,3.4
-5.949838,4.4
-5.649838,5.4
-5.449838,6.2
-5.149838,7
-4.849838,7.6
-4.649838,8.2
-4.349838,8.5
-4.149838,8.900001
-4.049839,9.2
-3.849838,9.400001
-3.649838,9.6
-3.449838,9.7
-3.149838,9.8
-2.949838,9.900001
-2.549838,10
-2.249838,10.1
-1.749838,10.4
-1.149838,10.7
-0.5498382,11
0.05016175,11.3
0.7501618,11.6
1.450162,12
2.150162,12.3
2.750162,12.7
3.350162,13
3.950162,13.3
4.350162,13.5
17.15016,-16.8
17.35016,-18.3
17.25016,-19.7
17.15016,-20.7
16.95016,-21.7
16.95016,-22.4
16.75016,-22.9
16.75016,-23.2
16.55016,-23.6
16.35016,-23.8
16.05016,-24.1
15.75016,-24.4
15.15016,-24.7
14.35016,-25
13.45016,-25.1
12.45016,-25.3
11.35016,-25.3
10.35016,-25.2
9.250162,-25
8.150162,-24.6
7.050162,-24.1
6.050162,-23.5
4.950162,-22.7
3.850162,-21.9
2.750162,-21
1.750162,-20.1
0.6501617,-19.1
-0.3498383,-18
-1.249838,-16.9
-2.049838,-15.6
-2.749838,-14.1
-3.449838,-12.6
-4.049839,-10.7
-4.549839,-8.8
-5.049839,-6.8
-5.449838,-4.7
-5.749838,-2.7
-6.049839,-0.8
-6.149838,1
-6.249838,2.4
-6.149838,3.8
-6.049839,4.8
-5.949838,5.6
-5.849838,6.2
-5.849838,6.6
-5.849838,7
-5.949838,7.3
-6.049839,7.6
-6.149838,7.9
-6.249838,8.2
-6.349838,8.7
-6.249838,9.3
-6.149838,9.7
-5.849838,10.2
-5.549839,10.6
-5.049839,11.1
-4.449838,11.5
-3.849838,11.9
-3.149838,12.2
-2.349838,12.5
-1.649838,12.6
-0.9498383,12.8
-0.2498383,12.9
0.3501618,13
0.7501618,13.2
1.050162,13.3
1.150162,13.5
1.150162,13.6
17.55016,-12.4
18.05016,-13.9
18.35016,-15.4
18.65016,-16.7
18.85016,-17.8
19.05016,-18.7
19.25016,-19.6
19.55016,-20.3
19.75016,-21.1
19.85016,-21.8
19.85016,-22.6
19.65016,-23.4
19.15016,-24.1
18.45016,-24.8
17.45016,-25.3
16.45016,-25.7
15.35016,-26
14.35016,-26.1
13.35016,-26.1
12.55016,-26
